"id","code","name","miningSiteId","startPoint","endPoint","distance","roadCondition","maxSpeed","gradient","isActive","lastMaintenance","createdAt","updatedAt"
"cmifyiuv402s22o7gjwlrr4o9","ROAD-0001","Road Segment 1","cmifyit1u00gp2o7gqzt93hpw","Point-A","Point-B",2.684338664461011,"EXCELLENT",38,-1.488604787902442,true,"2025-11-20T12:04:31.550Z","2025-11-26T12:04:31.552Z","2025-11-26T12:04:31.552Z"
"cmifyiuv702s42o7gykncdf8z","ROAD-0002","Road Segment 2","cmifyit1x00gq2o7gikzflhb4","Point-B","Point-C",2.18853991560511,"EXCELLENT",39,8.960329768428785,true,"2025-11-17T12:04:31.550Z","2025-11-26T12:04:31.556Z","2025-11-26T12:04:31.556Z"
"cmifyiuv902s62o7gzmsgwfod","ROAD-0003","Road Segment 3","cmifyit1y00gr2o7go0hgon4i","Point-C","Point-D",3.674574498458985,"GOOD",27,0.3849998770808281,true,"2025-11-16T12:04:31.550Z","2025-11-26T12:04:31.557Z","2025-11-26T12:04:31.557Z"
"cmifyiuva02s82o7geunohhhw","ROAD-0004","Road Segment 4","cmifyit1z00gs2o7gbe1wd3g8","Point-D","Point-E",1.502784496032085,"GOOD",46,-4.445400460685597,true,"2025-10-22T12:04:31.550Z","2025-11-26T12:04:31.558Z","2025-11-26T12:04:31.558Z"
"cmifyiuvb02sa2o7gvby2rfi5","ROAD-0005","Road Segment 5","cmifyit2100gt2o7g1d8n35a2","Point-E","Point-F",1.269094037147827,"GOOD",28,9.993993353081532,true,"2025-10-12T12:04:31.550Z","2025-11-26T12:04:31.560Z","2025-11-26T12:04:31.560Z"
"cmifyiuvd02sc2o7gc5u9eh04","ROAD-0006","Road Segment 6","cmifyit2200gu2o7g0d9bcrxq","Point-F","Point-G",3.776810502956407,"POOR",42,-2.436060073112344,true,"2025-11-13T12:04:31.550Z","2025-11-26T12:04:31.561Z","2025-11-26T12:04:31.561Z"
"cmifyiuve02se2o7ggfobf32b","ROAD-0007","Road Segment 7","cmifyit2300gv2o7grh0tsz83","Point-G","Point-H",4.804939334068293,"POOR",49,9.66276991102715,true,"2025-11-22T12:04:31.550Z","2025-11-26T12:04:31.562Z","2025-11-26T12:04:31.562Z"
"cmifyiuvf02sg2o7gvghkhnwd","ROAD-0008","Road Segment 8","cmifyit2400gw2o7grpraatck","Point-H","Point-I",1.623820839129826,"POOR",34,9.6681790509397,true,,"2025-11-26T12:04:31.563Z","2025-11-26T12:04:31.563Z"
"cmifyiuvg02si2o7gdv418ijp","ROAD-0009","Road Segment 9","cmifyit2500gx2o7gn9uuia6v","Point-I","Point-J",0.9573747441839384,"EXCELLENT",23,7.552975736598954,true,"2025-10-04T12:04:31.550Z","2025-11-26T12:04:31.565Z","2025-11-26T12:04:31.565Z"
"cmifyiuvi02sk2o7gfi54zhrx","ROAD-0010","Road Segment 10","cmifyit2600gy2o7g3avh0e4v","Point-J","Point-K",2.127995380220804,"POOR",22,1.507812849030011,true,"2025-10-18T12:04:31.550Z","2025-11-26T12:04:31.566Z","2025-11-26T12:04:31.566Z"
"cmifyiuvj02sm2o7gia2hirdn","ROAD-0011","Road Segment 11","cmifyit2700gz2o7gjjumvw1q","Point-K","Point-L",1.82536658991322,"POOR",32,6.289523752125753,true,"2025-11-01T12:04:31.550Z","2025-11-26T12:04:31.568Z","2025-11-26T12:04:31.568Z"
"cmifyiuvk02so2o7gs6dd0imb","ROAD-0012","Road Segment 12","cmifyit2800h02o7gw02gttx6","Point-L","Point-M",4.040811707710292,"GOOD",33,-0.7336419641483873,true,,"2025-11-26T12:04:31.569Z","2025-11-26T12:04:31.569Z"
"cmifyiuvm02sq2o7gwr1mnx6x","ROAD-0013","Road Segment 13","cmifyit2900h12o7gq97zv2a3","Point-M","Point-N",4.010837123075586,"EXCELLENT",26,-4.181334019334385,true,"2025-10-07T12:04:31.550Z","2025-11-26T12:04:31.570Z","2025-11-26T12:04:31.570Z"
